Device,Price,Works with,Weight (grams),Source,Trackpad,Links,Notes
Apple Magic Keyboard 11” (2024),$299.00,iPad Pro M4 (11”),580,Random MacRumors forum member (https://www.macrumors.com/2024/05/14/ipad-pro-magic-keyboard-accessory-weight/),Yes,https://www.apple.com/shop/product/MWR03LL/A/magic-keyboard-for-ipad-pro-11%E2%80%91inch-m4-us-english-white,
Apple Magic Keyboard 13” (2024),$349.00,iPad Pro M4 (13”),667,Six Colors (https://sixcolors.com/post/2024/05/m4_ipad_pro_review/),Yes,https://www.apple.com/shop/product/MWR53LL/A/magic-keyboard-for-ipad-pro-13%E2%80%91inch-m4-us-english-black,
Apple Magic Keyboard Folio for iPad (10th generation),$249.00,iPad (10th generation),,,Yes,https://www.apple.com/shop/product/MQDP3LL/A/magic-keyboard-folio-for-ipad-10th-generation-us-english,
Apple Magic Keyboard 11” (2020),$299.00,"iPad Pro 11” (1st-4th generation), iPad Air (4th-5th generation) ",601,MacRumors (https://www.macrumors.com/guide/magic-keyboard/),Yes,https://www.apple.com/shop/product/MXQT2LL/A/magic-keyboard-for-ipad-air-11-inch-m2-us-english-black,
Apple Magic Keyboard 13” (2020),$349.00,iPad Pro 13” (1st-4th generation),710,Daring Fireball (https://daringfireball.net/linked/2022/10/22/in-praise-of-smart-keyboard-folio),Yes,https://www.apple.com/shop/product/MJQL3LL/A/magic-keyboard-for-ipad-air-13-inch-m2-us-english-white,
Apple Smart Keyboard Folio 11”,$179.00,"iPad Pro 11” (1st-4th generation), iPad Air (4th-5th generation) ",311,My kitchen scale,No,https://www.apple.com/shop/product/MXNK2LL/A/smart-keyboard-folio-for-ipad-pro-11-inch-4th-generation-and-ipad-air-5th-generation-us-english,
Apple Smart Keyboard Folio 12.9”,$199.00,iPad Pro 12.9” (3rd-6th generation),407,Daring Fireball (https://daringfireball.net/linked/2022/10/22/in-praise-of-smart-keyboard-folio),No,https://www.apple.com/shop/product/MXNL2LL/A/smart-keyboard-folio-for-ipad-pro-129-inch-6th-generation-us-english,
Logitech Combo Touch for iPad Pro 11” (M4),$229.00,iPad Pro M4 (11”),474,Logitech,Yes,https://www.logitech.com/en-us/products/ipad-keyboards/combo-touch-ipad-pro.html,
Logitech Combo Touch for iPad Pro 13” (M4),$259.00,iPad Pro M4 (13”),660,Logitech,Yes,https://www.logitech.com/en-us/products/ipad-keyboards/combo-touch-ipad-pro.html,
Logitech Combo Touch for iPad Pro 11” (1st-4th generation),$199.00,iPad Pro 11” (1st-4th generation),574,Logitech,Yes,https://www.logitech.com/en-us/products/ipad-keyboards/combo-touch-ipad-pro.html,
Logitech Combo Touch for iPad Pro 12.9” (5th-6th generation),$229.00,iPad Pro 12.9” (5th-6th generation),780,Logitech,Yes,https://www.logitech.com/en-us/products/ipad-keyboards/combo-touch-ipad-pro.html,
Logitech Folio Touch for iPad Pro 11” (1st-4th generation),$159.00,iPad Pro 11” (1st-4th generation),646,Logitech,Yes,https://www.logitech.com/en-us/products/ipad-keyboards/folio-touch.920-009743.html,
Logitech Combo Touch for iPad Air 11” (M2),$199.00,iPad Air M2 (11”),495,Logitech,Yes,https://www.logitech.com/en-us/products/ipad-keyboards/combo-touch-ipad-air.html,
Logitech Combo Touch for iPad Air 13” (M2),$229.00,iPad Air M2 (13”),686,Logitech,Yes,https://www.logitech.com/en-us/products/ipad-keyboards/combo-touch-ipad-air.html,
Logitech Combo Touch for iPad Air 10.9”,$199.00,iPad Air (4th-5th generation),574,Logitech,Yes,https://www.logitech.com/en-us/products/ipad-keyboards/combo-touch-ipad-air.html,
Logitech Folio Touch for iPad Air 10.9” / 11” ,$159.00,"iPad Air (4th-5th generation), iPad Air M2 (11”)",643,Logitech,Yes,https://www.logitech.com/en-us/products/ipad-keyboards/folio-touch.html,
Logitech Combo Touch for iPad (10th generation),$159.00,iPad (10th generation),572,Logitech,Yes,https://www.logitech.com/en-us/products/ipad-keyboards/combo-touch-ipad.html,
Logitech Combo Touch for iPad (7th-9th generation),$149.00,iPad (7th-9th generation),610,Logitech,Yes,https://www.logitech.com/en-us/products/ipad-keyboards/combo-touch-ipad.html,
Logitech Slim Folio for iPad (10th generation),$99.00,iPad (10th generation),449,Logitech,No,https://www.logitech.com/en-us/products/ipad-keyboards/slim-folio-ipad-keyboard-case.html,
Logitech Rugged Folio for iPad (10th generation),$139.00,iPad (10th generation),570,Logitech,No,https://www.logitech.com/en-us/products/ipad-keyboards/rugged-folio.html,
Logitech Rugged Folio for iPad (7th-9th generation),$139.00,iPad (7th-9th generation),605,Logitech,No,https://www.logitech.com/en-us/products/ipad-keyboards/rugged-folio.html,
